"","closeness","weighted.closeness"
"Allomerus.octoarticulatus",0.0357142857142857,NA
"Allomerus.septemarticulatus",0.0357142857142857,NA
"Azteca.sp1",0,NA
"Azteca.sp5",0.107142857142857,NA
"Camponotus.balzanii",0,NA
"Crematogaster.erecta",0.107142857142857,0.0666666666666667
"Crematogaster.flavosensitiva",0.0357142857142857,NA
"Myrmelachysta.flavocotea",0.107142857142857,0.0666666666666667
"Pachycondyla.unidentata",0.107142857142857,NA
"Pheidole.minutula",0.0357142857142857,NA
"Pseudomyrmex.concolor",0.107142857142857,0.866666666666667
"Pseudomyrmex.nigrescens",0.107142857142857,0.333333333333333
"Pseudomyrmex.sp1",0,NA
"Solenopsis.sp1",0.107142857142857,NA
"Solenopsis.sp4",0.107142857142857,NA
